,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,ResultSpeed,ResultDir
37,2,2007-05-19,80,56,68.0,14.5,37,53.0,0.0,3.0,-,-, ,11.1,23
38,1,2007-05-20,69,43,56.0,-5.0,40,44.0,9.0,0.0,0427,1909,RA VCTS,10.4,4
39,2,2007-05-20,69,44,57.0,3.5,41,45.0,8.0,0.0,-,-,TSRA RA,8.6,3
40,1,2007-05-21,80,44,62.0,1.0,50,56.0,3.0,0.0,0426,1910, ,6.3,11
41,2,2007-05-21,79,46,63.0,9.5,50,57.0,2.0,0.0,-,-, ,6.3,10
42,1,2007-05-22,87,55,71.0,10.0,46,58.0,0.0,6.0,0425,1911, ,10.0,18
43,2,2007-05-22,87,60,74.0,20.5,44,58.0,0.0,9.0,-,-, ,10.1,16
44,1,2007-05-23,89,60,75.0,14.0,49,61.0,0.0,10.0,0425,1912, ,11.4,19
45,2,2007-05-23,89,66,78.0,24.5,48,61.0,0.0,13.0,-,-, ,10.9,18
46,1,2007-05-24,88,63,76.0,14.0,54,63.0,0.0,11.0,0424,1913,RA HZ,14.9,21
47,2,2007-05-24,88,66,77.0,23.5,53,63.0,0.0,12.0,-,-,RA HZ,13.8,20
48,1,2007-05-25,70,56,63.0,1.0,44,53.0,2.0,0.0,0423,1914, ,4.9,5
49,2,2007-05-25,66,57,62.0,8.5,46,53.0,3.0,0.0,-,-,RA BR,4.5,5
50,1,2007-05-26,65,49,57.0,-5.0,55,56.0,8.0,0.0,0422,1915,TSRA RA BR HZ,2.8,17
51,2,2007-05-26,70,50,60.0,6.5,55,57.0,5.0,0.0,-,-,TSRA RA BR,2.5,15
52,1,2007-05-27,75,57,66.0,4.0,47,56.0,0.0,1.0,0422,1916,RA BR,8.9,26
53,2,2007-05-27,75,59,67.0,13.5,49,57.0,0.0,2.0,-,-,RA BR,8.2,24
54,1,2007-05-28,79,50,65.0,2.0,47,56.0,0.0,0.0,0421,1916,RA,4.8,10
55,2,2007-05-28,76,54,65.0,11.5,49,57.0,0.0,0.0,-,-, ,4.7,8
56,1,2007-05-29,88,60,74.0,10.0,58,65.0,0.0,9.0,0421,1917,BR HZ,5.8,18
57,2,2007-05-29,88,65,77.0,23.5,59,66.0,0.0,12.0,-,-,BR HZ,5.8,16
58,1,2007-05-30,87,66,77.0,13.0,58,65.0,0.0,12.0,0420,1918,HZ,10.3,19
59,2,2007-05-30,89,70,80.0,26.5,57,66.0,0.0,15.0,-,-,HZ,9.7,17
60,1,2007-05-31,78,65,72.0,8.0,61,65.0,0.0,7.0,0420,1919,RA HZ,9.3,19
61,2,2007-05-31,80,68,74.0,20.5,61,66.0,0.0,9.0,-,-,RA BR,8.9,18
62,1,2007-06-01,85,62,74.0,10.0,63,66.0,0.0,9.0,0419,1920,TSRA BR HZ,4.2,17
63,2,2007-06-01,86,67,77.0,23.5,63,67.0,0.0,12.0,-,-,TSRA BR HZ,4.7,16
64,1,2007-06-02,81,65,73.0,9.0,63,67.0,0.0,8.0,0419,1920,RA BR,6.5,22
65,2,2007-06-02,81,68,75.0,21.5,62,67.0,0.0,10.0,-,-,RA BR,7.5,21
66,1,2007-06-03,78,62,70.0,6.0,60,63.0,0.0,5.0,0418,1921,TSRA RA BR HZ,5.2,25
67,2,2007-06-03,77,64,71.0,17.5,60,64.0,0.0,6.0,-,-,RA BR HZ VCTS,4.9,24
68,1,2007-06-04,71,58,65.0,1.0,58,60.0,0.0,0.0,0418,1922,TSRA RA BR,7.8,31
69,2,2007-06-04,72,56,64.0,10.5,57,60.0,1.0,0.0,-,-,RA BR,7.9,30
70,1,2007-06-05,64,47,56.0,-9.0,48,51.0,9.0,0.0,0417,1923,RA BR,5.2,5
71,2,2007-06-05,63,51,57.0,3.5,47,52.0,8.0,0.0,-,-,RA BR,6.2,3
72,1,2007-06-06,71,44,58.0,-8.0,48,55.0,7.0,0.0,0417,1923,RA,10.8,17
73,2,2007-06-06,73,48,61.0,7.5,47,55.0,4.0,0.0,-,-,RA,9.6,15
74,1,2007-06-07,91,71,81.0,15.0,62,69.0,0.0,16.0,0417,1924, ,22.7,20
75,2,2007-06-07,92,71,82.0,28.5,61,68.0,0.0,17.0,-,-, ,20.3,19
76,1,2007-06-08,81,57,69.0,3.0,53,61.0,0.0,4.0,0417,1925, ,10.9,28
77,2,2007-06-08,81,63,72.0,18.5,54,62.0,0.0,7.0,-,-, ,9.3,26
78,1,2007-06-09,79,52,66.0,0.0,47,57.0,0.0,1.0,0416,1925, ,0.3,33
79,2,2007-06-09,79,57,68.0,14.5,49,58.0,0.0,3.0,-,-, ,2.4,19
80,1,2007-06-10,81,55,68.0,1.0,51,59.0,0.0,3.0,0416,1926, ,4.8,17
81,2,2007-06-10,81,61,71.0,17.5,50,60.0,0.0,6.0,-,-, ,4.6,16
82,1,2007-06-11,86,58,72.0,5.0,52,61.0,0.0,7.0,0416,1926, ,4.9,11
83,2,2007-06-11,85,65,75.0,21.5,51,61.0,0.0,10.0,-,-, ,6.6,9
84,1,2007-06-12,83,62,73.0,5.0,50,60.0,0.0,8.0,0416,1927, ,8.3,5
85,2,2007-06-12,82,66,74.0,20.5,51,61.0,0.0,9.0,-,-, ,9.4,5
86,1,2007-06-13,87,60,74.0,6.0,53,62.0,0.0,9.0,0416,1927, ,7.2,5
87,2,2007-06-13,86,68,77.0,23.5,53,62.0,0.0,12.0,-,-, ,7.0,5
88,1,2007-06-14,89,64,77.0,9.0,55,64.0,0.0,12.0,0416,1928, ,5.6,5
89,2,2007-06-14,89,68,79.0,25.5,54,63.0,0.0,14.0,-,-, ,5.9,7
90,1,2007-06-15,91,63,77.0,9.0,56,64.0,0.0,12.0,0416,1928, ,4.1,6
91,2,2007-06-15,89,67,78.0,24.5,56,65.0,0.0,13.0,-,-, ,3.8,9
92,1,2007-06-16,93,66,80.0,11.0,60,67.0,0.0,15.0,0416,1929,RA HZ,4.8,28
93,2,2007-06-16,92,68,80.0,26.5,61,68.0,0.0,15.0,-,-,HZ,2.1,22
94,1,2007-06-17,91,70,81.0,12.0,64,70.0,0.0,16.0,0416,1929,HZ,2.8,11
95,2,2007-06-17,91,71,81.0,27.5,65,70.0,0.0,16.0,-,-,HZ,4.0,11
96,1,2007-06-18,89,69,79.0,9.0,65,70.0,0.0,14.0,0416,1929,TSRA RA HZ,14.0,20
97,2,2007-06-18,89,73,81.0,27.5,65,70.0,0.0,16.0,-,-,TSRA RA HZ,12.2,20
98,1,2007-06-19,80,65,73.0,3.0,55,63.0,0.0,8.0,0416,1930,RA,10.7,28
99,2,2007-06-19,81,65,73.0,19.5,55,63.0,0.0,8.0,-,-,RA BR,10.1,29
100,1,2007-06-20,84,61,73.0,3.0,52,61.0,0.0,8.0,0416,1930, ,7.8,27
101,2,2007-06-20,85,62,74.0,20.5,50,61.0,0.0,9.0,-,-, ,5.9,28
102,1,2007-06-21,77,61,69.0,-1.0,51,60.0,0.0,4.0,0416,1930,RA,3.5,3
103,2,2007-06-21,80,66,73.0,19.5,51,61.0,0.0,8.0,-,-,RA,3.7,2
104,1,2007-06-22,76,61,69.0,-1.0,50,58.0,0.0,4.0,0417,1931,RA,7.8,6
105,2,2007-06-22,75,62,69.0,15.5,49,58.0,0.0,4.0,-,-,RA,6.5,7
106,1,2007-06-23,67,62,65.0,-5.0,58,61.0,0.0,0.0,0417,1931,RA BR,7.6,12
107,2,2007-06-23,68,61,65.0,11.5,60,62.0,0.0,0.0,-,-,RA BR,7.3,11
108,1,2007-06-24,77,63,70.0,-1.0,62,65.0,0.0,5.0,0417,1931,BR HZ,7.0,9
109,2,2007-06-24,75,65,70.0,16.5,62,65.0,0.0,5.0,-,-,BR HZ,5.6,10
110,1,2007-06-25,89,65,77.0,6.0,66,70.0,0.0,12.0,0417,1931,BR HZ,3.9,14
111,2,2007-06-25,86,67,77.0,23.5,67,70.0,0.0,12.0,-,-,BR HZ,4.0,12
112,1,2007-06-26,92,70,81.0,10.0,69,72.0,0.0,16.0,0418,1931,TSRA BR HZ VCTS,6.1,22
113,2,2007-06-26,91,73,82.0,28.5,69,72.0,0.0,17.0,-,-,BR HZ,7.3,21
114,1,2007-06-27,91,71,81.0,10.0,70,72.0,0.0,16.0,0418,1931,TSRA,7.5,24
115,2,2007-06-27,89,71,80.0,26.5,69,72.0,0.0,15.0,-,-,TSRA RA BR,7.9,24
116,1,2007-06-28,74,58,66.0,-5.0,55,60.0,0.0,1.0,0419,1931, ,11.9,3
117,2,2007-06-28,73,61,67.0,13.5,56,61.0,0.0,2.0,-,-, ,12.2,2
118,1,2007-06-29,70,56,63.0,-8.0,55,59.0,2.0,0.0,0419,1931, ,7.6,2
119,2,2007-06-29,71,56,64.0,10.5,56,60.0,1.0,0.0,-,-, ,7.4,2
120,1,2007-06-30,79,54,67.0,-5.0,46,56.0,0.0,2.0,0419,1931, ,4.9,3
121,2,2007-06-30,77,58,68.0,14.5,49,58.0,0.0,3.0,-,-, ,5.1,4
122,1,2007-07-01,75,54,65.0,-7.0,52,58.0,0.0,0.0,0420,1931, ,8.6,4
123,2,2007-07-01,76,61,69.0,15.5,51,59.0,0.0,4.0,-,-, ,9.5,4
124,1,2007-07-02,79,53,66.0,-6.0,50,58.0,0.0,1.0,0420,1931, ,5.9,14
125,2,2007-07-02,77,58,68.0,14.5,50,59.0,0.0,3.0,-,-, ,7.4,12
126,1,2007-07-03,83,60,72.0,0.0,57,63.0,0.0,7.0,0421,1931,TSRA RA BR,6.7,21
127,2,2007-07-03,83,63,73.0,19.5,56,63.0,0.0,8.0,-,-,TSRA RA,6.4,21
128,1,2007-07-04,86,67,77.0,5.0,65,69.0,0.0,12.0,0422,1930,TSRA BR HZ FU,4.6,27
129,2,2007-07-04,84,67,76.0,22.5,65,69.0,0.0,11.0,-,-,TSRA RA HZ FU,3.1,25
130,1,2007-07-05,89,71,80.0,8.0,60,67.0,0.0,15.0,0422,1930,BR HZ FU,6.4,31
131,2,2007-07-05,88,70,79.0,25.5,60,67.0,0.0,14.0,-,-,BR,4.3,33
132,1,2007-07-06,86,66,76.0,4.0,57,64.0,0.0,11.0,0423,1930, ,3.2,5
133,2,2007-07-06,84,68,76.0,22.5,57,65.0,0.0,11.0,-,-, ,3.3,7
134,1,2007-07-07,90,64,77.0,5.0,63,69.0,0.0,12.0,0423,1930, ,8.4,22
135,2,2007-07-07,88,68,78.0,24.5,62,68.0,0.0,13.0,-,-, ,7.4,23
136,1,2007-07-08,94,75,85.0,12.0,67,72.0,0.0,20.0,0424,1929, ,12.9,24
137,2,2007-07-08,93,75,84.0,30.5,67,72.0,0.0,19.0,-,-, ,12.6,23
138,1,2007-07-09,94,70,82.0,9.0,66,70.0,0.0,17.0,0425,1929,TSRA RA VCTS,4.9,24
139,2,2007-07-09,93,72,83.0,29.5,67,71.0,0.0,18.0,-,-,RA,4.8,23
140,1,2007-07-10,89,69,79.0,6.0,67,70.0,0.0,14.0,0425,1929,HZ VCTS,8.6,23
141,2,2007-07-10,89,70,80.0,26.5,67,71.0,0.0,15.0,-,-,TSRA HZ,8.2,23
142,1,2007-07-11,77,62,70.0,-3.0,51,59.0,0.0,5.0,0426,1928, ,8.8,30
143,2,2007-07-11,77,63,70.0,16.5,51,59.0,0.0,5.0,-,-, ,9.1,30
144,1,2007-07-12,80,61,71.0,-2.0,51,59.0,0.0,6.0,0427,1928, ,9.4,29
145,2,2007-07-12,80,60,70.0,16.5,51,60.0,0.0,5.0,-,-,VCTS,10.0,28
146,1,2007-07-13,78,58,68.0,-5.0,52,58.0,0.0,3.0,0428,1927, ,1.4,1
147,2,2007-07-13,74,59,67.0,13.5,53,59.0,0.0,2.0,-,-, ,2.0,7
148,1,2007-07-14,84,61,73.0,0.0,55,62.0,0.0,8.0,0428,1927, ,8.3,26
149,2,2007-07-14,85,62,74.0,20.5,55,62.0,0.0,9.0,-,-, ,8.4,25
150,1,2007-07-15,82,60,71.0,-3.0,53,61.0,0.0,6.0,0429,1926, ,2.1,29
151,2,2007-07-15,80,64,72.0,18.5,52,61.0,0.0,7.0,-,-, ,1.2,9
152,1,2007-07-16,82,65,74.0,0.0,60,65.0,0.0,9.0,0430,1925,RA BR,4.4,24
153,2,2007-07-16,82,66,74.0,20.5,60,65.0,0.0,9.0,-,-,TSRA RA,5.6,23
154,1,2007-07-17,83,68,76.0,2.0,66,69.0,0.0,11.0,0431,1925,RA BR VCTS,5.2,23
155,2,2007-07-17,83,69,76.0,22.5,65,69.0,0.0,11.0,-,-,RA BR,6.3,23
156,1,2007-07-18,85,69,77.0,3.0,68,71.0,0.0,12.0,0432,1924,TSRA RA BR VCTS,9.1,24
157,2,2007-07-18,85,69,77.0,23.5,69,71.0,0.0,12.0,-,-,TS TSRA RA BR HZ VCTS,10.3,24
158,1,2007-07-19,83,63,73.0,-1.0,63,66.0,0.0,8.0,0433,1923,DZ BR,7.0,1
159,2,2007-07-19,82,63,73.0,19.5,62,66.0,0.0,8.0,-,-,BR HZ,7.7,36
160,1,2007-07-20,75,58,67.0,-7.0,53,59.0,0.0,2.0,0433,1923, ,8.6,3
161,2,2007-07-20,74,62,68.0,14.5,52,59.0,0.0,3.0,-,-, ,11.3,4
162,1,2007-07-21,74,58,66.0,-8.0,52,58.0,0.0,1.0,0434,1922, ,6.5,3
163,2,2007-07-21,75,58,67.0,13.5,52,59.0,0.0,2.0,-,-, ,5.8,4
164,1,2007-07-22,81,58,70.0,-4.0,55,61.0,0.0,5.0,0435,1921, ,1.7,16
165,2,2007-07-22,81,61,71.0,17.5,54,61.0,0.0,6.0,-,-, ,1.9,18
166,1,2007-07-23,83,60,72.0,-2.0,55,63.0,0.0,7.0,0436,1920, ,3.2,9
167,2,2007-07-23,82,63,73.0,19.5,55,63.0,0.0,8.0,-,-, ,2.9,12
168,1,2007-07-24,82,65,74.0,0.0,58,64.0,0.0,9.0,0437,1919, ,3.1,20
169,2,2007-07-24,82,65,74.0,20.5,57,64.0,0.0,9.0,-,-, ,1.1,21
170,1,2007-07-25,85,71,78.0,4.0,61,67.0,0.0,13.0,0438,1918, ,5.8,25
171,2,2007-07-25,83,70,77.0,23.5,60,66.0,0.0,12.0,-,-, ,6.4,23
172,1,2007-07-26,83,66,75.0,1.0,65,68.0,0.0,10.0,0439,1918,TS TSRA RA BR HZ,7.2,22
173,2,2007-07-26,84,64,74.0,20.5,65,68.0,0.0,9.0,-,-,TS TSRA BR HZ,7.2,22
174,1,2007-07-27,83,70,77.0,3.0,68,70.0,0.0,12.0,0440,1917,RA BR HZ,3.0,3
175,2,2007-07-27,83,70,77.0,23.5,67,70.0,0.0,12.0,-,-,RA BR HZ,1.2,36
176,1,2007-07-28,80,66,73.0,-1.0,65,68.0,0.0,8.0,0441,1916,BR HZ,10.0,3
177,2,2007-07-28,80,70,75.0,21.5,65,68.0,0.0,10.0,-,-,BR HZ,10.6,3
178,1,2007-07-29,85,63,74.0,0.0,57,64.0,0.0,9.0,0442,1915, ,4.8,5
179,2,2007-07-29,85,67,76.0,22.5,56,64.0,0.0,11.0,-,-, ,6.3,5
180,1,2007-07-30,89,62,76.0,2.0,55,64.0,0.0,11.0,0443,1914, ,3.8,6
181,2,2007-07-30,86,65,76.0,22.5,57,65.0,0.0,11.0,-,-, ,3.1,6
182,1,2007-07-31,91,68,80.0,6.0,61,68.0,0.0,15.0,0444,1913, ,3.3,4
183,2,2007-07-31,89,69,79.0,25.5,60,68.0,0.0,14.0,-,-, ,4.0,7
184,1,2007-08-01,92,69,81.0,8.0,62,69.0,0.0,16.0,0445,1911,HZ,3.5,9
185,2,2007-08-01,91,69,80.0,26.5,63,70.0,0.0,15.0,-,-, ,2.1,13
186,1,2007-08-02,91,70,81.0,8.0,66,71.0,0.0,16.0,0446,1910,HZ,5.5,26
187,2,2007-08-02,91,73,82.0,28.5,66,72.0,0.0,17.0,-,-, ,6.5,23
188,1,2007-08-03,90,69,80.0,7.0,56,66.0,0.0,15.0,0447,1909, ,2.7,3
189,2,2007-08-03,88,73,81.0,27.5,58,67.0,0.0,16.0,-,-, ,3.3,6
190,1,2007-08-04,81,64,73.0,0.0,58,64.0,0.0,8.0,0448,1908,RA,5.7,8
191,2,2007-08-04,81,68,75.0,21.5,58,65.0,0.0,10.0,-,-,RA,5.9,9
192,1,2007-08-05,88,67,78.0,5.0,71,73.0,0.0,13.0,0449,1907,TSRA RA BR HZ,5.4,21
193,2,2007-08-05,88,68,78.0,24.5,71,72.0,0.0,13.0,-,-,TSRA RA BR VCTS,7.0,22
194,1,2007-08-06,88,74,81.0,8.0,72,74.0,0.0,16.0,0450,1906,TSRA RA BR HZ,1.6,10
195,2,2007-08-06,85,75,80.0,26.5,72,74.0,0.0,15.0,-,-,TS TSRA BR HZ,2.6,10
196,1,2007-08-07,91,72,82.0,9.0,73,76.0,0.0,17.0,0451,1904,RA BR,6.2,25
197,2,2007-08-07,92,73,83.0,29.5,73,76.0,0.0,18.0,-,-,VCTS,6.3,24
198,1,2007-08-08,87,73,80.0,7.0,71,73.0,0.0,15.0,0452,1903,TSRA RA BR,3.0,3
199,2,2007-08-08,87,74,81.0,27.5,72,74.0,0.0,16.0,-,-,TSRA RA DZ BR HZ,1.5,4
200,1,2007-08-09,84,72,78.0,5.0,71,73.0,0.0,13.0,0453,1902,TSRA RA,2.5,29
201,2,2007-08-09,85,73,79.0,25.5,71,73.0,0.0,14.0,-,-,TSRA BR HZ,3.1,27
202,1,2007-08-10,86,70,78.0,5.0,68,72.0,0.0,13.0,0454,1900,BR,4.5,2
203,2,2007-08-10,86,73,80.0,26.5,69,72.0,0.0,15.0,-,-, ,3.0,6
204,1,2007-08-11,89,67,78.0,5.0,65,70.0,0.0,13.0,0455,1859,BR HZ,3.2,19
205,2,2007-08-11,88,68,78.0,24.5,65,70.0,0.0,13.0,-,-,BR HZ,3.1,20
206,1,2007-08-12,88,67,78.0,5.0,67,71.0,0.0,13.0,0456,1858,TSRA,1.7,6
207,2,2007-08-12,87,68,78.0,24.5,67,70.0,0.0,13.0,-,-,TSRA,1.9,6
208,1,2007-08-13,81,65,73.0,0.0,57,64.0,0.0,8.0,0457,1856,BR,6.2,6
209,2,2007-08-13,80,69,75.0,21.5,54,63.0,0.0,10.0,-,-, ,6.9,8
210,1,2007-08-14,84,65,75.0,3.0,67,70.0,0.0,10.0,0458,1855,TS TSRA RA BR,5.9,25
211,2,2007-08-14,84,65,75.0,21.5,66,69.0,0.0,10.0,-,-,TSRA RA BR,6.4,23
212,1,2007-08-15,80,71,76.0,4.0,67,70.0,0.0,11.0,0459,1854,TSRA RA BR,3.4,7
213,2,2007-08-15,81,72,77.0,23.5,69,71.0,0.0,12.0,-,-,TS TSRA RA BR,4.9,6
214,1,2007-08-16,77,65,71.0,-1.0,64,67.0,0.0,6.0,0500,1852,BR,3.6,1
215,2,2007-08-16,77,67,72.0,18.5,65,68.0,0.0,7.0,-,-,BR,3.5,1
216,1,2007-08-17,79,60,70.0,-2.0,54,61.0,0.0,5.0,0501,1851, ,5.9,32
217,2,2007-08-17,80,65,73.0,19.5,54,62.0,0.0,8.0,-,-, ,6.1,31
218,1,2007-08-18,68,59,64.0,-8.0,54,58.0,1.0,0.0,0502,1849,RA,6.4,12
219,2,2007-08-18,69,60,65.0,11.5,54,58.0,0.0,0.0,-,-,RA,6.1,13
220,1,2007-08-19,68,62,65.0,-6.0,62,64.0,0.0,0.0,0503,1848,TS RA BR,6.0,10
221,2,2007-08-19,69,62,66.0,12.5,63,64.0,0.0,1.0,-,-,TS RA BR,5.5,10
222,1,2007-08-20,78,68,73.0,2.0,68,69.0,0.0,8.0,0504,1846,TSRA RA BR,0.5,12
223,2,2007-08-20,76,68,72.0,18.5,69,70.0,0.0,7.0,-,-,TS TSRA RA BR HZ,2.4,20
224,1,2007-08-21,87,69,78.0,7.0,70,72.0,0.0,13.0,0505,1845,BR HZ,3.8,18
225,2,2007-08-21,85,69,77.0,23.5,70,72.0,0.0,12.0,-,-,BR,3.5,17
226,1,2007-08-22,90,69,80.0,9.0,71,73.0,0.0,15.0,0506,1843,TS TSRA RA,5.3,21
227,2,2007-08-22,90,70,80.0,26.5,70,73.0,0.0,15.0,-,-,TSRA RA BR,5.1,21
228,1,2007-08-23,87,69,78.0,7.0,69,71.0,0.0,13.0,0508,1842,TS TSRA RA BR VCTS,9.6,21
229,2,2007-08-23,89,70,80.0,26.5,69,71.0,0.0,15.0,-,-,TS TSRA BR,6.7,21
230,1,2007-08-24,80,69,75.0,4.0,67,69.0,0.0,10.0,0509,1840,TSRA RA,5.8,25
231,2,2007-08-24,81,69,75.0,21.5,67,69.0,0.0,10.0,-,-,TS TSRA RA BR,5.5,25
232,1,2007-08-25,79,64,72.0,2.0,63,66.0,0.0,7.0,0510,1839,RA,3.0,36
233,2,2007-08-25,76,65,71.0,17.5,63,66.0,0.0,6.0,-,-,RA BR,2.4,3
234,1,2007-08-26,79,60,70.0,0.0,55,61.0,0.0,5.0,0511,1837, ,3.6,11
235,2,2007-08-26,78,61,70.0,16.5,55,62.0,0.0,5.0,-,-, ,3.7,11
236,1,2007-08-27,79,60,70.0,0.0,60,64.0,0.0,5.0,0512,1835, ,6.5,17
237,2,2007-08-27,79,63,71.0,17.5,59,64.0,0.0,6.0,-,-, ,6.4,16
238,1,2007-08-28,91,67,79.0,9.0,66,70.0,0.0,14.0,0513,1834, ,9.0,20
239,2,2007-08-28,90,69,80.0,26.5,65,70.0,0.0,15.0,-,-, ,7.8,21
240,1,2007-08-29,85,68,77.0,7.0,65,69.0,0.0,12.0,0514,1832, ,5.6,3
241,2,2007-08-29,86,69,78.0,24.5,64,69.0,0.0,13.0,-,-, ,5.3,3
242,1,2007-08-30,75,57,66.0,-4.0,54,60.0,0.0,1.0,0515,1831, ,9.1,2
243,2,2007-08-30,75,60,68.0,14.5,54,61.0,0.0,3.0,-,-, ,10.8,3
244,1,2007-08-31,77,57,67.0,-2.0,52,59.0,0.0,2.0,0516,1829, ,3.9,4
245,2,2007-08-31,76,57,67.0,13.5,54,60.0,0.0,2.0,-,-, ,3.0,6
246,1,2007-09-01,81,57,69.0,1.0,55,61.0,0.0,4.0,0517,1827, ,4.2,11
247,2,2007-09-01,79,60,70.0,16.5,56,62.0,0.0,5.0,-,-, ,4.4,11
248,1,2007-09-02,85,61,73.0,5.0,57,63.0,0.0,8.0,0518,1826, ,4.2,21
249,2,2007-09-02,84,62,73.0,19.5,56,63.0,0.0,8.0,-,-, ,4.8,21
250,1,2007-09-03,88,66,77.0,9.0,61,67.0,0.0,12.0,0519,1824, ,2.0,27
251,2,2007-09-03,88,64,76.0,22.5,61,67.0,0.0,11.0,-,-, ,3.0,25
252,1,2007-09-04,89,63,76.0,8.0,60,66.0,0.0,11.0,0520,1822, ,2.8,22
253,2,2007-09-04,90,67,79.0,25.5,59,67.0,0.0,14.0,-,-, ,2.2,24
254,1,2007-09-05,90,66,78.0,11.0,63,69.0,0.0,13.0,0521,1821,RA,6.4,19
255,2,2007-09-05,91,72,82.0,28.5,62,69.0,0.0,17.0,-,-, ,6.4,19
256,1,2007-09-06,82,73,78.0,11.0,67,70.0,0.0,13.0,0522,1819,RA HZ,11.9,20
257,2,2007-09-06,84,74,79.0,25.5,66,70.0,0.0,14.0,-,-,TSRA HZ,12.8,20
258,1,2007-09-07,84,70,77.0,10.0,68,70.0,0.0,12.0,0523,1817,TSRA RA BR HZ,10.4,23
259,2,2007-09-07,84,71,78.0,24.5,67,70.0,0.0,13.0,-,-,TSRA RA BR HZ,9.5,23
260,1,2007-09-08,78,64,71.0,5.0,57,63.0,0.0,6.0,0524,1815, ,6.0,5
261,2,2007-09-08,78,68,73.0,19.5,58,64.0,0.0,8.0,-,-, ,8.4,5
262,1,2007-09-09,80,63,72.0,6.0,59,63.0,0.0,7.0,0525,1814, ,9.2,3
